#,Name,Value,Description,Package,Manufacture,MPN,Qty,Parts,Type,SMT,THT,BGA/QFP
40,Array Chip Resistor,330,5% 1/16W,R0603 x4,Bourns,CAY16-331J4LF,5,"RN3, RN6, RN7, RN8, RN9",SMT,5,,
41,Array Chip Resistor,33,5% 1/16W,R0603 x4,Bourns,CAY16-330J4LF,1,RN4,SMT,1,,
42,Array Chip Resistor,49.9,1% 1/16W,R0603 x4,Bourns,CAY16-49R9F4LF,1,RN5,SMT,1,,
43,SMD-LED,Yellow,general LED yellow,LED-0603,Lite-On,LTST-C191KSKT,1,RX,SMT,1,,
44,Pin Header,10 pin,Cortex Debug Connector,1.27mm Pin Header 10P,Amphenol ICC,20021121-00010C4LF,1,SWD,SMT,1,,
45,Logic IC,74HC165PW,8-bit parallel-in/serial out shift register,TSSOP16,Nexperia ,"74HC165PW,118",1,U1,SMT,1,,1
46,TVS Diode Array,USBLC6-2SC6,STMicroelectronics  USBLC6,SOT23-6L,STMicroelectronics,USBLC6-2SC6,1,U2,SMT,1,,
47,Logic IC,74HC595,8-Bit Shift Register (Serial to Parallel),TSSOP16,Nexperia ,"74HC595PW,118",1,U3,SMT,1,,1
48,Voltage Regulator,LD1117S33,3.3V 0.8A,SOT223,STMicroelectronics,LD1117S33TR,1,U4,SMT,1,,
49,MCU,,,TQFP-48,Microchip,ATSAMD21G18A-AU,1,U5,SMT,1,,1
50,Stepper Driver IC,,,HTSSOP28,STMicroelectronics,L6470HTR,8,"U6, U7, U8, U9, U10, U11, U12, U13",SMT,8,,8
51,USB Type C Connector,,USB - Type C Female 16 SMT,USB-C_USB2.0-TYPE-C,XKB Connectivity,U262-161N-4BVC11,1,USB1,THT,,1,
52,Barrier Terminal Block,"7.62mm, 2P",,7.62mm,Ningbo Kangnex Elec,WJ25C-B-7.62-2P,1,X1,THT,,1,
53,Crystal Resonators ,25MHz,25MHz ±20ppm12pF,CRYSTAL-3225,TAITIEN Elec,XXDBBCNANF-25.000000MHZ,1,X2,SMT,1,,
54,RJ45 Jack with Magnetics,,,,Hanrun,HR871181A,1,X3,THT,,1,
,,,,,,,,,,,,
,,,,,,,,,,201,14,12
